ticket_id,customer_id,created_at,resolved_at,priority,issue_type,status,satisfaction_score
TICK000001,CUST00056,2026-03-02T22:59:09Z,,high,product_question,open,
TICK000002,CUST00806,2026-03-20T09:53:57Z,,low,payment_issue,open,
TICK000003,CUST00305,2026-05-12T03:56:05Z,,low,product_question,in_progress,
TICK000004,CUST00931,2026-05-10T04:08:43Z,2026-05-10T18:08:43Z,critical,account_issue,resolved,2
TICK000005,CUST00931,2026-04-06T18:05:12Z,,high,account_issue,in_progress,
TICK000006,CUST00772,2026-04-05T09:01:48Z,,critical,payment_issue,open,
TICK000007,CUST00948,2026-02-04T04:24:42Z,,high,refund_request,open,
TICK000008,CUST00121,2026-04-13T11:53:16Z,,medium,refund_request,in_progress,
TICK000009,CUST00361,2026-02-05T21:56:59Z,2026-02-06T17:56:59Z,high,product_question,resolved,5
TICK000010,CUST00819,2026-03-16T05:27:18Z,,high,technical_support,open,
TICK000011,CUST00093,2026-05-23T16:47:55Z,,medium,product_question,open,
TICK000012,CUST00372,2026-02-15T20:53:38Z,,medium,account_issue,in_progress,
TICK000013,CUST00649,2026-04-11T13:36:31Z,,critical,refund_request,in_progress,
TICK000014,CUST00423,2026-03-06T04:46:07Z,,low,technical_support,in_progress,
TICK000015,CUST00314,2026-04-24T14:57:30Z,2026-04-28T03:57:30Z,low,delivery_delay,closed,1
TICK000016,CUST00038,2026-04-02T03:20:34Z,2026-04-02T05:20:34Z,high,refund_request,resolved,1
TICK000017,CUST00659,2026-05-23T02:25:03Z,,low,refund_request,open,
TICK000018,CUST00494,2026-04-08T20:53:06Z,2026-04-12T13:53:06Z,medium,delivery_delay,resolved,3
TICK000019,CUST00065,2026-05-13T19:40:49Z,,high,product_question,in_progress,
TICK000020,CUST00524,2026-01-06T15:32:55Z,,high,refund_request,open,
TICK000021,CUST00893,2026-03-12T18:32:23Z,2026-03-13T01:32:23Z,low,refund_request,closed,2
TICK000022,CUST00762,2026-01-03T16:56:09Z,,low,technical_support,open,
TICK000023,CUST00319,2026-02-09T06:23:52Z,,low,technical_support,open,
TICK000024,CUST00780,2026-03-04T14:57:17Z,,medium,technical_support,in_progress,
TICK000025,CUST00734,2026-02-27T13:45:30Z,,high,refund_request,open,
TICK000026,CUST00368,2026-02-03T15:01:55Z,2026-02-03T21:01:55Z,high,payment_issue,resolved,5
TICK000027,CUST00223,2026-03-15T18:05:44Z,2026-03-16T00:05:44Z,high,product_question,closed,3
TICK000028,CUST00862,2026-03-24T22:40:01Z,2026-03-26T00:40:01Z,critical,product_question,closed,4
TICK000029,CUST00314,2026-01-05T19:42:35Z,2026-01-09T02:42:35Z,low,product_question,resolved,5
TICK000030,CUST00551,2026-04-28T18:11:27Z,,medium,refund_request,open,
TICK000031,CUST00287,2026-03-17T07:49:33Z,2026-03-19T14:49:33Z,low,product_question,resolved,3
TICK000032,CUST00508,2026-01-16T07:37:02Z,,critical,product_question,open,
