order_id,product_id,quantity,unit_price,line_amount
ORD0000001,PROD0166,1,1046.08,1046.08
ORD0000001,PROD0019,1,251.23,251.23
ORD0000001,PROD0192,2,2290.5,4581.0
ORD0000001,PROD0176,3,2116.27,6348.81
ORD0000002,PROD0143,1,1136.49,1136.49
ORD0000002,PROD0019,2,251.23,502.46
ORD0000002,PROD0148,2,868.47,1736.94
ORD0000003,PROD0173,3,2406.49,7219.47
ORD0000003,PROD0031,3,2468.08,7404.24
ORD0000003,PROD0137,3,1954.46,5863.38
ORD0000003,PROD0002,1,262.96,262.96
ORD0000004,PROD0028,1,1704.3,1704.3
ORD0000004,PROD0075,2,592.39,1184.78
ORD0000004,PROD0176,2,2116.27,4232.54
ORD0000004,PROD0078,2,2374.02,4748.04
ORD0000004,PROD0156,2,140.24,280.48
ORD0000005,PROD0035,2,152.57,305.14
ORD0000005,PROD0192,3,2290.5,6871.5
ORD0000006,PROD0003,1,1621.18,1621.18
ORD0000006,PROD0142,1,999.49,999.49
ORD0000006,PROD0143,1,1136.49,1136.49
ORD0000007,PROD0054,3,1820.1,5460.3
ORD0000007,PROD0192,2,2290.5,4581.0
ORD0000007,PROD0190,1,2262.01,2262.01
ORD0000008,PROD0065,3,1056.81,3170.43
ORD0000008,PROD0050,1,2220.83,2220.83
ORD0000008,PROD0030,3,2480.93,7442.79
ORD0000008,PROD0047,2,1474.97,2949.94
ORD0000008,PROD0172,3,1126.45,3379.35
ORD0000009,PROD0051,3,2490.38,7471.14
ORD0000010,PROD0026,3,2167.05,6501.15
ORD0000010,PROD0073,1,106.2,106.2
ORD0000011,PROD0169,3,570.07,1710.21
ORD0000011,PROD0079,3,1811.15,5433.45
ORD0000011,PROD0178,2,391.03,782.06
ORD0000011,PROD0150,2,1359.89,2719.78
ORD0000011,PROD0040,2,1077.13,2154.26
ORD0000012,PROD0071,3,663.38,1990.14
ORD0000012,PROD0093,2,338.22,676.44
ORD0000012,PROD0035,2,152.57,305.14
ORD0000012,PROD0174,2,109.26,218.52
ORD0000013,PROD0166,1,1046.08,1046.08
ORD0000013,PROD0156,2,140.24,280.48
ORD0000014,PROD0188,3,2060.63,6181.89
ORD0000014,PROD0161,1,2036.55,2036.55
ORD0000014,PROD0020,1,652.56,652.56
ORD0000015,PROD0197,3,1288.63,3865.89
ORD0000015,PROD0152,2,1205.08,2410.16
ORD0000015,PROD0055,3,1837.32,5511.96
ORD0000015,PROD0010,3,804.41,2413.23
ORD0000016,PROD0188,3,2060.63,6181.89
ORD0000016,PROD0075,1,592.39,592.39
ORD0000016,PROD0035,2,152.57,305.14
ORD0000016,PROD0119,2,913.45,1826.9
ORD0000016,PROD0129,3,308.9,926.7
ORD0000017,PROD0194,1,2279.05,2279.05
ORD0000017,PROD0132,2,2317.15,4634.3
ORD0000018,PROD0011,2,71.43,142.86
ORD0000018,PROD0057,1,2192.35,2192.35
ORD0000018,PROD0195,1,2008.62,2008.62
ORD0000019,PROD0093,1,338.22,338.22
ORD0000019,PROD0100,3,1640.19,4920.57
ORD0000019,PROD0121,2,1403.9,2807.8
ORD0000019,PROD0117,1,234.51,234.51
ORD0000019,PROD0012,3,654.49,1963.47
ORD0000020,PROD0146,3,1844.15,5532.45
ORD0000020,PROD0045,3,1736.26,5208.78
ORD0000020,PROD0097,1,79.81,79.81
ORD0000020,PROD0168,3,1554.44,4663.32
ORD0000020,PROD0094,2,405.21,810.42
ORD0000021,PROD0125,1,1308.79,1308.79
ORD0000021,PROD0124,3,858.66,2575.98
ORD0000021,PROD0155,1,273.32,273.32
ORD0000022,PROD0055,1,1837.32,1837.32
ORD0000022,PROD0039,2,1539.28,3078.56
ORD0000022,PROD0048,3,2061.02,6183.06
ORD0000023,PROD0185,3,878.71,2636.13
ORD0000023,PROD0030,2,2480.93,4961.86
ORD0000023,PROD0124,2,858.66,1717.32
ORD0000024,PROD0012,3,654.49,1963.47
ORD0000024,PROD0033,3,209.38,628.14
ORD0000025,PROD0043,2,1894.06,3788.12
ORD0000026,PROD0185,3,878.71,2636.13
ORD0000027,PROD0156,1,140.24,140.24
ORD0000027,PROD0121,2,1403.9,2807.8
ORD0000027,PROD0124,3,858.66,2575.98
ORD0000027,PROD0044,1,1694.46,1694.46
ORD0000028,PROD0043,2,1894.06,3788.12
ORD0000028,PROD0186,2,835.05,1670.1
ORD0000028,PROD0176,3,2116.27,6348.81
ORD0000029,PROD0005,1,846.02,846.02
ORD0000030,PROD0046,2,329.3,658.6
ORD0000031,PROD0024,2,657.31,1314.62
ORD0000032,PROD0134,3,1476.58,4429.74
ORD0000032,PROD0108,3,420.19,1260.57
ORD0000032,PROD0095,2,1210.83,2421.66
ORD0000032,PROD0012,1,654.49,654.49
ORD0000033,PROD0190,2,2262.01,4524.02
ORD0000033,PROD0195,1,2008.62,2008.62
ORD0000033,PROD0179,2,134.73,269.46
ORD0000033,PROD0148,2,868.47,1736.94
ORD0000033,PROD0026,1,2167.05,2167.05
ORD0000034,PROD0066,3,1304.61,3913.83
ORD0000034,PROD0049,1,1144.17,1144.17
ORD0000034,PROD0002,3,262.96,788.88
ORD0000034,PROD0182,3,556.15,1668.45
ORD0000035,PROD0105,1,2098.87,2098.87
ORD0000035,PROD0093,2,338.22,676.44
ORD0000035,PROD0028,3,1704.3,5112.9
ORD0000036,PROD0094,1,405.21,405.21
ORD0000036,PROD0157,2,673.31,1346.62
ORD0000036,PROD0071,3,663.38,1990.14
ORD0000036,PROD0175,3,666.49,1999.47
ORD0000036,PROD0102,2,2183.87,4367.74
ORD0000037,PROD0199,3,171.16,513.48
ORD0000037,PROD0181,1,1961.81,1961.81
ORD0000037,PROD0102,3,2183.87,6551.61
ORD0000038,PROD0055,3,1837.32,5511.96
ORD0000039,PROD0042,2,937.77,1875.54
ORD0000040,PROD0154,2,1060.59,2121.18
ORD0000040,PROD0112,1,1114.92,1114.92
ORD0000040,PROD0023,2,1971.92,3943.84
ORD0000040,PROD0017,1,901.37,901.37
ORD0000041,PROD0074,1,1723.0,1723.0
ORD0000041,PROD0183,3,177.9,533.7
ORD0000041,PROD0153,2,1871.69,3743.38
ORD0000041,PROD0015,2,1818.56,3637.12
ORD0000041,PROD0199,1,171.16,171.16
ORD0000042,PROD0133,3,2230.25,6690.75
ORD0000042,PROD0179,1,134.73,134.73
ORD0000042,PROD0060,2,2091.61,4183.22
ORD0000042,PROD0158,1,1711.01,1711.01
ORD0000042,PROD0044,3,1694.46,5083.38
ORD0000043,PROD0172,3,1126.45,3379.35
ORD0000043,PROD0102,1,2183.87,2183.87
ORD0000043,PROD0104,3,869.61,2608.83
ORD0000044,PROD0186,2,835.05,1670.1
ORD0000044,PROD0144,2,1036.56,2073.12
ORD0000044,PROD0150,2,1359.89,2719.78
ORD0000045,PROD0067,1,2077.99,2077.99
ORD0000046,PROD0088,2,676.63,1353.26
ORD0000046,PROD0030,3,2480.93,7442.79
ORD0000046,PROD0132,3,2317.15,6951.45
ORD0000047,PROD0198,2,2429.3,4858.6
ORD0000047,PROD0063,3,1757.06,5271.18
ORD0000047,PROD0194,2,2279.05,4558.1
ORD0000047,PROD0087,3,898.96,2696.88
ORD0000048,PROD0163,1,1620.62,1620.62
ORD0000048,PROD0057,2,2192.35,4384.7
ORD0000048,PROD0174,2,109.26,218.52
ORD0000048,PROD0180,2,1976.45,3952.9
ORD0000049,PROD0024,3,657.31,1971.93
ORD0000049,PROD0103,2,1656.99,3313.98
ORD0000049,PROD0173,1,2406.49,2406.49
ORD0000050,PROD0147,1,530.6,530.6
ORD0000050,PROD0069,3,292.12,876.36
ORD0000051,PROD0189,2,1674.99,3349.98
ORD0000051,PROD0062,1,316.0,316.0
ORD0000052,PROD0200,1,1716.03,1716.03
ORD0000052,PROD0028,1,1704.3,1704.3
ORD0000053,PROD0124,2,858.66,1717.32
ORD0000054,PROD0047,2,1474.97,2949.94
ORD0000054,PROD0196,1,117.28,117.28
ORD0000054,PROD0131,3,850.13,2550.39
ORD0000054,PROD0072,1,1760.96,1760.96
ORD0000055,PROD0089,2,2038.89,4077.78
ORD0000055,PROD0101,1,2171.88,2171.88
ORD0000055,PROD0176,3,2116.27,6348.81
ORD0000055,PROD0199,3,171.16,513.48
ORD0000055,PROD0045,2,1736.26,3472.52
ORD0000056,PROD0149,3,1628.02,4884.06
ORD0000056,PROD0026,2,2167.05,4334.1
ORD0000056,PROD0084,1,1848.44,1848.44
ORD0000056,PROD0093,3,338.22,1014.66
ORD0000057,PROD0048,1,2061.02,2061.02
ORD0000057,PROD0128,2,641.69,1283.38
ORD0000057,PROD0109,3,608.3,1824.9
ORD0000058,PROD0047,3,1474.97,4424.91
ORD0000058,PROD0147,1,530.6,530.6
ORD0000058,PROD0034,1,2466.71,2466.71
ORD0000058,PROD0148,3,868.47,2605.41
ORD0000059,PROD0038,1,1910.81,1910.81
ORD0000059,PROD0190,2,2262.01,4524.02
ORD0000060,PROD0137,2,1954.46,3908.92
ORD0000060,PROD0185,3,878.71,2636.13
ORD0000060,PROD0081,3,1164.98,3494.94
ORD0000060,PROD0125,1,1308.79,1308.79
ORD0000060,PROD0077,2,1438.79,2877.58
ORD0000061,PROD0162,2,2171.14,4342.28
ORD0000061,PROD0025,2,2129.23,4258.46
ORD0000061,PROD0116,2,1035.55,2071.1
ORD0000061,PROD0191,2,1708.92,3417.84
ORD0000062,PROD0090,3,1006.74,3020.22
ORD0000063,PROD0045,3,1736.26,5208.78
ORD0000063,PROD0200,3,1716.03,5148.09
ORD0000063,PROD0073,2,106.2,212.4
ORD0000063,PROD0091,3,2090.59,6271.77
ORD0000063,PROD0084,2,1848.44,3696.88
