payment_id,order_id,payment_ts,payment_method,payment_status,amount,currency
PAY0000001,ORD0000001,2026-04-15T11:31:58Z,wallet,success,12227.12,SGD
PAY0000002,ORD0000002,2026-01-11T13:08:27Z,wallet,success,3375.89,SGD
PAY0000003,ORD0000003,2026-03-03T10:43:02Z,paypal,success,20750.05,SGD
PAY0000004,ORD0000004,2026-01-15T02:57:28Z,card,success,12150.14,SGD
PAY0000005,ORD0000005,2026-01-31T09:35:12Z,card,failed,7176.64,SGD
PAY0000006,ORD0000006,2026-05-12T13:48:44Z,wallet,success,3757.16,SGD
PAY0000007,ORD0000007,2026-04-17T09:35:12Z,wallet,success,12303.31,SGD
PAY0000008,ORD0000008,2026-02-05T19:20:05Z,bank_transfer,success,19163.34,SGD
PAY0000009,ORD0000009,2026-01-14T03:49:59Z,bank_transfer,success,7471.14,SGD
PAY0000010,ORD0000010,2026-01-25T23:29:33Z,wallet,pending,6607.35,SGD
PAY0000011,ORD0000011,2026-03-29T12:37:44Z,wallet,success,12799.76,SGD
PAY0000012,ORD0000012,2026-02-13T01:48:04Z,wallet,success,3190.24,SGD
PAY0000013,ORD0000013,2026-04-18T03:44:37Z,card,success,1326.56,SGD
PAY0000014,ORD0000014,2026-04-15T15:58:31Z,wallet,success,8871.0,SGD
PAY0000015,ORD0000015,2026-04-24T00:13:22Z,card,pending,14201.24,SGD
PAY0000016,ORD0000016,2026-03-18T05:19:29Z,paypal,success,9833.02,SGD
PAY0000017,ORD0000017,2026-04-30T06:59:54Z,paypal,success,6913.35,SGD
PAY0000018,ORD0000018,2026-05-23T03:59:17Z,paypal,success,4343.83,SGD
PAY0000019,ORD0000019,2026-05-10T21:15:05Z,wallet,success,10264.57,SGD
PAY0000020,ORD0000020,2026-02-21T03:29:30Z,paypal,failed,16294.78,SGD
PAY0000021,ORD0000021,2026-03-20T20:30:42Z,wallet,success,4158.09,SGD
PAY0000022,ORD0000022,2026-04-10T23:14:10Z,wallet,success,11098.94,SGD
PAY0000023,ORD0000023,2026-02-14T18:00:30Z,card,success,9315.31,SGD
PAY0000024,ORD0000024,2026-03-21T18:57:44Z,wallet,success,2591.61,SGD
PAY0000025,ORD0000025,2026-04-22T03:29:05Z,bank_transfer,success,3788.12,SGD
PAY0000026,ORD0000026,2026-04-20T10:58:17Z,bank_transfer,refunded,2636.13,SGD
PAY0000027,ORD0000027,2026-01-17T16:17:01Z,bank_transfer,success,7218.48,SGD
PAY0000028,ORD0000028,2026-05-09T04:04:09Z,bank_transfer,failed,11807.03,SGD
PAY0000029,ORD0000029,2026-03-16T21:28:57Z,bank_transfer,success,846.02,SGD
PAY0000030,ORD0000030,2026-01-30T01:08:20Z,paypal,failed,658.6,SGD
PAY0000031,ORD0000031,2026-04-14T05:35:35Z,paypal,pending,1314.62,SGD
PAY0000032,ORD0000032,2026-05-12T18:24:56Z,wallet,success,8766.46,SGD
PAY0000033,ORD0000033,2026-03-16T01:58:27Z,wallet,success,10706.09,SGD
PAY0000034,ORD0000034,2026-04-27T04:54:39Z,wallet,success,7515.33,SGD
PAY0000035,ORD0000035,2026-05-08T04:03:21Z,bank_transfer,success,7888.21,SGD
PAY0000036,ORD0000036,2026-04-15T03:56:47Z,paypal,failed,10109.18,SGD
PAY0000037,ORD0000037,2026-03-01T13:27:25Z,wallet,success,9026.9,SGD
PAY0000038,ORD0000038,2026-05-16T19:37:39Z,wallet,success,5511.96,SGD
PAY0000039,ORD0000039,2026-04-17T23:31:16Z,paypal,success,1875.54,SGD
PAY0000040,ORD0000040,2026-01-18T18:16:12Z,paypal,success,8081.31,SGD
PAY0000041,ORD0000041,2026-03-19T21:03:25Z,bank_transfer,success,9808.36,SGD
PAY0000042,ORD0000042,2026-01-07T14:34:51Z,card,success,-17803.09,SGD
PAY0000043,ORD0000043,2026-02-23T15:19:32Z,card,success,8172.05,SGD
PAY0000044,ORD0000044,2026-01-18T12:33:12Z,bank_transfer,refunded,6463.0,SGD
PAY0000045,ORD0000045,2026-03-20T11:42:24Z,paypal,failed,2077.99,SGD
PAY0000046,ORD0000046,2026-01-15T02:03:35Z,bank_transfer,success,15747.5,SGD
PAY0000047,ORD0000047,2026-03-15T06:37:17Z,paypal,success,17384.76,SGD
PAY0000048,ORD0000048,2026-02-20T02:27:37Z,card,success,10176.74,SGD
PAY0000049,ORD0000049,2026-02-21T03:48:54Z,paypal,success,7692.4,SGD
PAY0000050,ORD0000050,2026-03-02T23:42:11Z,paypal,success,1406.96,SGD
PAY0000051,ORD0000051,2026-05-24T03:12:31Z,card,success,3665.98,SGD
PAY0000052,ORD0000052,2026-05-01T03:21:13Z,paypal,success,3420.33,SGD
PAY0000053,ORD0000053,2026-01-02T07:44:06Z,paypal,success,1717.32,SGD
PAY0000054,ORD0000054,2026-04-22T15:06:15Z,bank_transfer,success,7378.57,SGD
PAY0000055,ORD0000055,2026-04-16T02:07:40Z,paypal,success,16584.47,SGD
